午后のあくび: Vocabulary for 午后のあくび
Word;Kana;Translation;Level
ごらん;ごらん;(please) try to;Week 3
ていたらく;ていたらく;"(unpleasant) state of affairs; predicament; mess";Week 3
雀の涙;すずめのなみだ;"drop in the bucket; very small quantity; chicken feed; insignificant amount; sparrow tears";Week 3
ほほ;ほほ;cheek (of face);Week 3
やあ;やあ;"yo!; hello there!; hi!";Week 3
素晴らしい;すばらしい;"wonderful; splendid; magnificent";Week 3
五月晴れ;さつきばれ;fine weather during the rainy season;Week 3
満腹;まんぷく;"full stomach; filling one's stomach; eating one's fill";Week 3
服を着る;ふくをきる;"to put on clothes; to wear clothes";Week 3
こんなに;こんなに;"so; like this; in this way";Week 3
楽;らく;"comfort; ease; relief; (at) peace; relaxation";Week 3
とは;とは;indicates word or phrase being defined;Week 3
体;からだ;body;Week 3
軽い;かるい;"light (i.e. not heavy); feeling light (i.e. offering little resistance, moving easily)";Week 3
気持ち;きもち;"feeling; sensation; mood; state of mind";Week 3
何;なに;what;Week 3
必要;ひつよう;"necessary; needed; essential; indispensable";Week 3
スズメ;スズメ;tree sparrow (Passer montanus);Week 3
サイズ;サイズ;size;Week 3
直る;なおる;"to get mended; to be repaired; to be fixed";Week 3
持ち主;もちぬし;"owner; proprietor; possessor (e.g. of talent, beauty, etc.)";Week 3
雀;すずめ;tree sparrow (Passer montanus);Week 3
取る;とる;"to take; to pick up; to grab; to catch";Week 3
来る;くる;"to come (spatially or temporally); to approach; to arrive";Week 3
気配;けはい;"indication; sign; hint; sensation; feeling";Week 3
いっこうに;いっこうに;"completely; absolutely; totally";Week 3
家;いえ;"house; residence; dwelling";Week 3
帰る;かえる;"to return; to come home; to go home; to go back";Week 3
途中;とちゅう;"on the way; en route";Week 3
乗り継ぐ;のりつぐ;"to connect (with a different flight, train, etc.); to make a connection; to change (planes, trains, etc.)";Week 3
散策;さんさく;"walking; strolling; roaming; wandering; exploring";Week 3
事にする;ことにする;to decide to;Week 3
駄菓子屋;だがしや;small-time candy store;Week 3
だろ;だろ;"seems; I think; I guess; I wonder; I hope";Week 3
ためしに;ためしに;"as a test; as an experiment; by way of experiment; by way of trial; tentatively";Week 3
10円;じゅうえん;yen (Japanese monetary unit);Week 3
入れる;いれる;"to put in; to let in; to take in; to bring in; to insert; to install (e.g. software); to set (a jewel, etc.); to ink in (e.g. tattoo)";Week 3
ハンドル;ハンドル;handle;Week 3
回す;まわす;"to turn; to rotate; to spin; to twist; to gyrate";Week 3
何も;なにも;"(not) anything; (nothing) at all; (not) any; nothing";Week 3
わけ;わけ;"conclusion from reasoning, judgement or calculation based on something read or heard; reason; cause; meaning; circumstances; situation";Week 3
カラッポ;カラッポ;"empty; vacant; hollow";Week 3
もん;もん;"thing; object; article; stuff; substance";Week 3
そのとき;そのとき;"at that time; at that moment; then; on that occasion";Week 3
海;うみ;"sea; ocean; waters";Week 3
ほう;ほう;"direction; way; side; area (in a particular direction)";Week 3
吹く;ふく;to blow (of the wind);Week 3
風車;ふうしゃ;"windmill; wind turbine";Week 3
受ける;うける;"to receive; to get";Week 3
ガラス;ガラス;"glass; pane";Week 3
容器;ようき;"container; receptacle; vessel; packaging";Week 3
集める;あつめる;"to collect; to assemble; to gather";Week 3
圧縮;あっしゅく;compression;Week 3
つぶ;つぶ;"grain; bead; drop";Week 3
状;じょう;"form; shape; appearance";Week 3
止まる;とまる;"to stop (moving); to come to a stop";Week 3
おお;おお;"oh!; good heavens!";Week 3
固まる;かたまる;"to harden; to solidify";Week 3
キャンディ;キャンディ;"candy; sweets";Week 3
ほどなく;ほどなく;"soon; before long; shortly thereafter";Week 3
やって来る;やってくる;"to come along; to come around; to turn up";Week 3
バス停;バスてい;bus stop;Week 3
口;くち;mouth;Week 3
溶ける;とける;"to melt; to thaw; to fuse";Week 3
遠い;とおい;"far; distant; far away; a long way off; in the distance";Week 3
少しずつ;すこしずつ;little by little;Week 3
異国;いこく;foreign country;Week 3
薫る;かおる;"to smell sweet; to be fragrant";Week 3
どうして;どうして;"how; in what way; by what means";Week 3
あなた;あなた;you;Week 3
こと;こと;particle indicating a command;Week 3
夏い;なつい;"blisteringly hot; relentlessly hot; scorching";Week 3
抜け道;ぬけみち;"byway; bypath; byroad; secret path; way of escape";Week 3
毎年;まいとし;"every year; yearly; annually";Week 3
梅雨;つゆ;rainy season (in Japan usu. from early June to mid-July);Week 3
になると;になると;"when it becomes; when it comes to";Week 3
広場;ひろば;"public square; square; plaza; piazza; forum";Week 3
因む;ちなむ;"to be associated (with); to be connected (with)";Week 3
青い;あおい;"blue; azure";Week 3
傘;かさ;"umbrella; parasol";Week 3
ばかり;ばかり;"only; merely; nothing but; no more than";Week 3
屋台;やたい;"cart (esp. a food cart); stall; stand";Week 3
ずらり;ずらり;"in a row; in a line";Week 3
並ぶ;ならぶ;"to line up; to stand in a line";Week 3
きれい;きれい;"pretty; lovely; beautiful; fair";Week 3
色;いろ;"colour; color; hue; tint; tinge; shade";Week 3
内側;うちがわ;"inside; interior; inner part";Week 3
まるで;まるで;"quite; entirely; completely; at all";Week 3
見上げる;みあげる;"to look up at; to raise one's eyes";Week 3
ゆらめく;ゆらめく;"to flicker; to quiver; to waver; to sway";Week 3
光;ひかり;light;Week 3
天井;てんじょう;ceiling;Week 3
むこう;むこう;"invalid; void; ineffective; unavailable";Week 3
影;かげ;"shadow; silhouette; figure; shape";Week 3
横切る;よこぎる;"to cross (e.g. road); to traverse";Week 3
魚;さかな;fish;Week 3
を通して;をとおして;"through; throughout; through (the good offices of); by way of";Week 3
風景;ふうけい;"scenery; scene; landscape; view; sight";Week 3
眺める;ながめる;"to look at; to gaze at; to watch; to stare at";Week 3
水中;すいちゅう;underwater;Week 3
世界;せかい;"the world; society; the universe";Week 3
へと;へと;"to; towards; for";Week 3
一変;いっぺん;"complete change; about-face";Week 3
メガネ;メガネ;"glasses; eyeglasses; spectacles";Week 3
最近;さいきん;"recently; lately; these days; nowadays; right now";Week 3
いつも;いつも;"always; all the time; at all times";Week 3
日傘;ひがさ;"parasol (esp. one carried in the hand); sunshade";Week 3
のに;のに;"although; despite; even though; and yet";Week 3
ほら;ほら;"look!; look out!; hey!; look at me!; there you are!";Week 3
ビル;ビル;"multi-floor building; multi-storey building";Week 3
うしろ;うしろ;"back; behind; rear";Week 3
底;そこ;"bottom; sole";Week 3
町中;まちなか;downtown;Week 3
水族館;すいぞくかん;aquarium;Week 3
なんだ;なんだ;"it is assuredly that ...; can say with confidence that ...";Week 3
雨宿り;あまやどり;taking shelter from rain;Week 4
兼ねる;かねる;"to be unable to; to find difficult (unpleasant, awkward, painful) to do";Week 4
アーケード街;アーケードがい;shopping arcade;Week 4
買い物;かいもの;"shopping; purchased goods";Week 4
高級;こうきゅう;"high-class; high-grade; high-quality; high-end; luxury";Week 4
獣;けもの;"beast; brute; animal";Week 4
菓子;かし;"confectionery; sweets; candy; cake";Week 4
落ちる;おちる;"to fall down; to drop; to fall (e.g. rain); to sink (e.g. sun or moon); to fall onto (e.g. light or one's gaze); to be used in a certain place (e.g. money)";Week 4
あそこ;あそこ;"there; over there; that place; yonder; you-know-where";Week 4
紫;むらさき;"purple; violet";Week 4
聞く;きく;to hear;Week 4
らい;らい;"next (year, spring, etc.); coming";Week 4
タイル;タイル;tile;Week 4
アーケード;アーケード;arcade (street);Week 4
横道;よこみち;"byway; side street; cross street";Week 4
古びる;ふるびる;"to look old; to get old";Week 4
路地;ろじ;"alley; alleyway; lane";Week 4
奥;おく;"inner part; inside; interior; depths (e.g. of a forest); back (of a house, drawer, etc.); bottom (e.g. of one's heart); recesses; heart";Week 4
進む;すすむ;"to advance; to go forward";Week 4
ピッタリ;ピッタリ;"tightly; closely";Week 4
はまる;はまる;"to fit; to get into; to go into; to be fitted with (e.g. door with a window)";Week 4
所が;ところが;"even so; however; still; whereupon; even though; nevertheless; on the contrary; as a matter of fact; despite";Week 4
横丁;よこちょう;"bystreet; side street; back street; alley; lane";Week 4
内;うち;"inside; within";Week 4
彩る;いろどる;"to colour; to color; to paint";Week 4
この中;このうち;"among these; between these; of these";Week 4
はず;はず;"should (be); bound (to be); expected (to be); must (be)";Week 4
いたる所;いたるところ;"everywhere; all over; throughout";Week 4
探しだす;さがしだす;"to track down; to locate; to find out; to smoke out; to ferret out; to chase up; to discover";Week 4
至難のワザ;しなんのワザ;"Herculean task; next-to-impossible undertaking";Week 4
へいき;へいき;"arms; weapon; ordnance";Week 4
達人;たつじん;"master; expert";Week 4
近い;ちかい;"near; close; short (distance)";Week 4
磨く;みがく;"to polish; to shine; to burnish; to scour; to scrub; to brush (teeth); to grind (e.g. a lens)";Week 4
所;ところ;"place; spot; scene; site";Week 4
誰か;だれか;"someone; somebody";Week 4
石けり;いしけり;form of hopscotch in which the player kicks a stone through the course;Week 4
使う;つかう;"to use (a tool, method, etc.); to make use of; to put to use";Week 4
けしからん;けしからん;"outrageous; scandalous; inexcusable; disgraceful; shameful; rude";Week 4
のう;のう;emphasis-adding particle;Week 4
迷う;まよう;"to lose one's way; to get lost";Week 4
だす;だす;"to take out; to get out";Week 4
一軒;いっけん;one house;Week 4
建物;たてもの;building;Week 4
立ちどまる;たちどまる;"to stop (in one's tracks); to come to a stop; to halt; to pause; to stand still";Week 4
ふむ;ふむ;"hmm; I see; hrm";Week 4
形;かたち;"form; shape; figure";Week 4
壁;かべ;"wall; partition";Week 4
には;には;"to; for; on; in; at";Week 4
アジサイ;アジサイ;"bigleaf hydrangea (Hydrangea macrophylla); French hydrangea";Week 4
モザイク;モザイク;mosaic;Week 4
画;かく;stroke (of a kanji, etc.);Week 4
欠ける;かける;"to chip; to be chipped; to break (off); to be damaged";Week 4
パズル;パズル;puzzle;Week 4
あっと;あっと;"saying ""Ah!""; making one say ""Ah!""; surprisingly; astonishingly";Week 4
直す;なおす;"to cure; to heal";Week 4
仕舞う;しまう;"to finish; to stop; to end; to put an end to; to bring to a close";Week 4
これで;これで;"here; with this";Week 4
よし;よし;"alright; all right; right on; looking good; OK; okay";Week 4
すぐに;すぐに;"immediately; right away; at once; instantly";Week 4
分かる;わかる;"to understand; to comprehend; to grasp; to see; to get; to follow";Week 4
さすが;さすが;"as one would expect; just as you'd expect (from); just like (someone)";Week 4
そりゃあ;そりゃあ;"very; extremely";Week 4
濡れる;ぬれる;to get wet;Week 4
当たる;あたる;"to be hit; to strike";Week 4
全部;ぜんぶ;"all; entire; whole; altogether";Week 4
わし;わし;"I; me";Week 4
貼る;はる;"to stick; to paste; to affix";Week 4
だから;だから;"so; therefore; accordingly; consequently; on those grounds; that is why; for that reason";Week 4
全体;ぜんたい;"whole; entirety; whatever (is the matter)";Week 4
ぴかぴか;ぴかぴか;"with a glitter; with a sparkle";Week 4
輝く;かがやく;"to shine; to glitter; to sparkle";Week 4
雲間;くもま;rift between clouds;Week 4
ハタン;ハタン;"failure; collapse; breakdown; break-up; bankruptcy";Week 4
式;しき;"equation; formula; expression";Week 4
10日間;とうかかん;counter for days;Week 4
続く;つづく;"to continue; to last; to go on";Week 4
うんざり;うんざり;"tedious; boring; being fed up with";Week 4
気味;きみ;"sensation; feeling";Week 4
帰り道;かえりみち;"the way back; the way home; return trip";Week 4
アス;アス;tomorrow;Week 4
雨雲;あまぐも;rain cloud;Week 4
かけら;かけら;"fragment; broken piece; chip; splinter; shard";Week 4
ついてくる;ついてくる;"to follow; to come along with one; to accompany";Week 4
結局;けっきょく;"after all; in the end; ultimately; eventually";Week 4
付いてくる;ついてくる;"to follow; to come along with one; to accompany";Week 4
降らせる;ふらせる;"to send (rain); to shed";Week 4
そこで;そこで;"so; accordingly; now; then; thereupon; therefore";Week 4
床;とこ;"bed; bedding";Week 4
そうじ;そうじ;"cleaning; sweeping; dusting; scrubbing";Week 4
消える;きえる;"to disappear; to vanish; to go out of sight; to go away; to become lost";Week 4
ふう;ふう;"phew; whew; huff";Week 4
鍋;なべ;"saucepan; pot";Week 4
溜まる;たまる;"to collect; to gather; to save; to accumulate; to pile up";Week 4
雨水;あまみず;rain water;Week 4
そのまま;そのまま;"without change; as is";Week 4
沸かす;わかす;"to boil; to heat";Week 4
おいしい;おいしい;"good(-tasting); nice; delicious; tasty";Week 4
すると;すると;"thereupon; hereupon";Week 4
悲しい;かなしい;"sad; miserable; unhappy; sorrowful";Week 4
なぜか;なぜか;"somehow; for some reason; without knowing why";Week 4
涙;なみだ;"tear; tears; lachrymal secretion";Week 4
零れる;こぼれる;"to spill; to fall out of; to overflow";Week 4
このまま;このまま;"as is; as it is; as things are; like this; this way; at this rate";Week 4
どうしよう;どうしよう;what to do;Week 4
夜;よる;"evening; night";Week 4
眠る;ねむる;to sleep;Week 4
外;そと;"outside; exterior";Week 4
久しぶり;ひさしぶり;"a long time (since the last time); first in a long time";Week 4
翌朝;よくあさ;next morning;Week 4
まっ赤;まっか;"bright red; deep red; flushed (of face)";Week 4
おまえ;おまえ;you;Week 4
寄る;よる;"to approach; to draw near; to come near; to be close to";Week 4
かき氷;かきごおり;"shaved ice (usually served with flavored simple syrup); Italian ice; snow cone; sno-cone";Week 4
ので;ので;"that being the case; because of ...; the reason is ...; given that ...";Week 4
ギラリ;ギラリ;"staring (e.g. eyes); goggling; glaring";Week 4
あくび;あくび;"yawn; yawning";Week 4
すみ;すみ;"corner; nook; recess";Week 4
抹茶;まっちゃ;"matcha; powdered green tea";Week 4
ミルク;ミルク;milk;Week 4
下さる;くださる;"to give; to confer; to bestow";Week 4
あるじ;あるじ;"head (of a household); proprietor (of a store); proprietress; landlord; landlady; master (of a servant)";Week 4
草臥れる;くたびれる;"to get tired; to become exhausted; to grow weary";Week 4
しろくま;しろくま;polar bear (Ursus maritimus);Week 4
しゃい;しゃい;"gratitude; thanks";Week 4
初めて;はじめて;for the first time;Week 4
北極;ほっきょく;North Pole;Week 4
だろうか;だろうか;"don't you think?; indicates question";Week 4
テレビ;テレビ;"television; TV";Week 4
なんか;なんか;"something like ...; things like ...; someone like ...; the likes of ...";Week 4
では;では;"then; well; so; well then";Week 4
とても;とても;"very; awfully; exceedingly";Week 4
口調;くちょう;"tone (of voice); manner of talking";Week 4
話をする;はなしをする;"to have a talk; to tell a story";Week 4
あのう;あのう;"say; well; um; er";Week 4
オーロラ;オーロラ;aurora;Week 4
やっぱり;やっぱり;"as expected; sure enough; just as one thought";Week 4
ハイ;ハイ;"high (e.g. spirits); merry";Week 4
隣る;となる;"to neighbor (neighbour); to be adjacent to; to be next to; to border";Week 4
街;がい;"street; quarter; district; area";Week 4
生まれ;うまれ;"birth; birthplace";Week 4
鈴;すず;bell (often globular);Week 4
市;し;city;Week 4
父;ちち;father;Week 4
エアコン;エアコン;"air con; air conditioner; air conditioning";Week 4
冷蔵庫;れいぞうこ;"refrigerator; fridge";Week 4
扱う;あつかう;"to deal with (a person); to treat; to handle; to take care of; to entertain";Week 4
セールスマン;セールスマン;salesman;Week 4
母;はは;mother;Week 4
各国;かっこく;each nation;Week 4
巡業;じゅんぎょう;provincial tour;Week 4
サーカス;サーカス;circus;Week 4
団員;だんいん;group member;Week 4
のように;のように;"like; similar to";Week 4
で‌はある;で‌はある;to be (in contrast to something that is not the case);Week 4
それほど;それほど;"to that degree; to that extent; that much";Week 4
珍しい;めずらしい;"unusual; rare; curious";Week 4
一度;いちど;"once; one time; on one occasion";Week 4
たい;たい;very ...;Week 4
とはいえ;とはいえ;"though; although; be that as it may; nonetheless";Week 4
はあ;はあ;"yes; indeed; well";Week 4
冬;ふゆ;winter;Week 4
シチュー;シチュー;stew;Week 4
売る;うる;to sell;Week 4
北;きた;north;Week 4
目指す;めざす;"to aim at (for, to do, to become); to try for; to have an eye on";Week 4
旅;たび;"travel; trip; journey";Week 4
して;して;"by (indicating means of action); as (a group, etc.)";Week 4
10年;じゅうねん;counter for years (e.g. of an era), grades (e.g. school);Week 4
まだ;まだ;"still; as yet; only";Week 4
この辺;このへん;"this area; around here";Week 4
スローペース;スローペース;slow pace;Week 4
正月;しょうがつ;New Year (esp. first three days);Week 4
実家;じっか;(one's parents') home;Week 4
帰省;きせい;"homecoming; returning home";Week 4
なかなか;なかなか;"very; considerably; easily; readily; fairly; quite; highly; rather";Week 4
長い;ながい;long (distance, length);Week 4
道のり;みちのり;"distance; journey; itinerary";Week 4
なり;なり;"or something; for instance ... (though there are other suitable options)";Week 4
そうですね;そうですね;that's so, isn't it;Week 4
ところで;ところで;"by the way; incidentally";Week 4
翠;みどり;green;Week 4
岬;みさき;cape (on coast);Week 4
滝;たき;waterfall;Week 4
柘;はりぐわ;"storehousebush (Cudrania tricuspidata); mandarin melon berry; silkworm thorn; cudrang";Week 4
記;き;"account; history; chronicle; annals; record";Week 4
すん;すん;sun (approx. 3.03 cm);Week 4
んな;んな;"such (about the actions of the listener, or about ideas expressed or understood by the listener); like that; that sort of";Week 4
シマウマ;シマウマ;zebra;Week 4
いらっしゃる;いらっしゃる;"to come; to go; to be (somewhere)";Week 4
放題;ほうだい;"(doing) as one pleases; to one's heart's content; letting (something) go unchecked; leaving uncontrolled; leaving (something) to take its own course";Week 4
赤い;あかい;"red; crimson; scarlet; vermilion; vermillion";Week 4
洞窟;どうくつ;"cavern; cave; cave system; grotto";Week 4
うまい;うまい;"skillful; skilful; clever; expert; wise; successful";Week 4
ほい;ほい;heave-ho;Week 4
スイカ;スイカ;watermelon (Citrullus lanatus);Week 4
正解;せいかい;"correct; right; correct interpretation (answer, solution)";Week 4
集金;しゅうきん;money collection;Week 4
せい;せい;"consequence; outcome; result; blame";Week 4
むしょうに;むしょうに;"very much; intensely; overwhelmingly; excessively; irresistibly; without any obvious reason";Week 4
近所;きんじょ;"neighbourhood; neighborhood";Week 4
くだもの;くだもの;fruit;Week 4
屋;おく;"house; building";Week 4
いろんな;いろんな;various;Week 4
縞模様;しまもよう;striped pattern;Week 4
ノーマル;ノーマル;normal;Week 4
購入;こうにゅう;"purchase; buy";Week 4
まいど;まいど;"each time; always; often";Week 4
しましま;しましま;"striped; stripes";Week 4
である;である;"be; is";Week 4
あげく;あげく;"after (a long process); at the end of";Week 4
おもい;おもい;thought;Week 4
けっこう;けっこう;"splendid; nice; wonderful; delicious; sweet";Week 4
いっしょに;いっしょに;"together (with); at the same time; in a lump";Week 4
感じる;かんじる;"to feel; to sense; to experience";Week 4
何かしら;なにかしら;"somehow (or other); for some reason; without knowing why";Week 5
ジャングル;ジャングル;jungle;Week 5
際;さい;"on the occasion of; circumstances; juncture";Week 5
同僚;どうりょう;"coworker; co-worker; colleague; associate";Week 5
えっと;えっと;"let me see; well; errr ...; uhh ...";Week 5
謎い;なぞい;"mystifying; puzzling; perplexing; baffling; bewildering";Week 5
おみやげ;おみやげ;local specialty or souvenir bought as a gift while travelling;Week 5
拾う;ひろう;"to pick up; to find; to gather";Week 5
という;という;"called; named; that says; that";Week 5
変わった;かわった;"unusual; abnormal; strange; odd; peculiar; weird; different";Week 5
意外;いがい;"unexpected; surprising";Week 5
種;たね;"seed (e.g. of a plant); pip; kind; variety; quality; tone";Week 5
ありがと;ありがと;"thank you; thanks";Week 5
鉢植え;はちうえ;potted plant;Week 5
ようす;ようす;"state; state of affairs; situation; circumstances";Week 5
数日;すうじつ;few days;Week 5
経つ;たつ;"to pass (of time); to elapse";Week 5
変化;へんか;"change; variation; alteration; mutation; transition; transformation; transfiguration; metamorphosis";Week 5
忘れかける;わすれかける;to start forgetting;Week 5
まんまる;まんまる;perfect circle;Week 5
月;つき;Moon;Week 5
銀色;ぎんいろ;silver (color, colour);Week 5
きらきら;きらきら;"glittering; sparkling; glistening; twinkling";Week 5
光る;ひかる;"to shine; to glitter; to be bright";Week 5
閉じる;とじる;"to close (e.g. book, eyes, meeting, etc.); to shut";Week 5
チャージ;チャージ;"charge (electrical); recharging";Week 5
完了;かんりょう;"completion; conclusion";Week 5
翌日;よくじつ;next day;Week 5
オバケ;オバケ;"ghost; apparition";Week 5
とか;とか;"and the like; such as; among other things; and so on";Week 5
信じる;しんじる;"to believe; to believe in; to place trust in; to confide in; to have faith in";Week 5
ねー;ねー;"right?; isn't it?; doesn't it?; don't you?; don't you think?";Week 5
いや;いや;"disagreeable; detestable; unpleasant; reluctant";Week 5
景色;けしき;"scenery; scene; landscape";Week 5
涼む;すずむ;"to cool oneself; to cool off; to enjoy the cool air";Week 5
いこう;いこう;"intention; idea; inclination; wish";Week 5
路地裏;ろじうら;"back street; back alley; off-street";Week 5
参道;さんどう;road approaching a shrine;Week 5
につれて;につれて;"as (X, then Y); with; in accordance with; in proportion to";Week 5
そのぶん;そのぶん;to that extent;Week 5
暑さ;あつさ;"heat (of the weather); hotness";Week 5
和らぐ;やわらぐ;"to soften; to calm down; to be eased; to be mitigated; to subside; to abate";Week 5
緑;みどり;green;Week 5
密度;みつど;density;Week 5
増す;ます;"to increase; to grow";Week 5
迷路;めいろ;"maze; labyrinth";Week 5
庭;にわ;"garden; yard; courtyard";Week 5
老成る;ませる;"to be precocious; to be mature for one's age; to seem grown-up; to seem mature";Week 5
薄荷;はっか;mint (e.g. peppermint, spearmint, etc.);Week 5
炭酸水;たんさんすい;carbonated water;Week 5
ペパーミント;ペパーミント;peppermint;Week 5
グリーン;グリーン;green (colour);Week 5
稲荷;いなり;Inari (god of harvests, Uka-no-Mitama);Week 5
通りぬける;とおりぬける;"to go through; to pass through; to get through; to cut across";Week 5
いく;いく;"to go; to move (in a direction or towards a specific location); to head (towards); to be transported (towards); to reach";Week 5
賽銭;さいせん;"monetary offering; offertory";Week 5
いつもより;いつもより;more than usual;Week 5
静かに;しずかに;"calmly; quietly; gently; peacefully";Week 5
なぜ;なぜ;"why; how";Week 5
ただいま;ただいま;"here I am; I'm home!";Week 5
台風;たいふう;"typhoon; hurricane";Week 5
通過;つうか;"passing through (a tunnel, station, town, etc.); passing by (e.g. of a typhoon); transit";Week 5
ざあ;ざあ;"if it is not ...; if it does not ...";Week 5
風の音;かぜのおと;"sound of the wind; voice of the wind";Week 5
いいとこ;いいとこ;"good thing; strong point";Week 5
停電;ていでん;"power outage; electricity outage; blackout; failure of electricity supply";Week 5
知る;しる;"to know; to be aware (of); to be conscious (of); to learn (of); to find out; to discover";Week 5
ホットケーキ;ホットケーキ;"hotcake; (American) pancake";Week 5
ろうそく;ろうそく;candle;Week 5
切らす;きらす;"to run out of; to be short of; to be out of stock";Week 5
たん;たん;"single; simple";Week 5
福引;ふくびき;"lottery; tombola; drawing";Week 5
懐中電灯;かいちゅうでんとう;"(electric) torch; flashlight";Week 5
機会;きかい;"chance; opportunity";Week 5
やっと;やっと;"at last; finally";Week 5
出番;でばん;"one's turn; one's shift";Week 5
電池;でんち;"battery; cell";Week 5
3等;さんとう;"class; order; rank";Week 5
ジジ;ジジ;old man;Week 5
部屋;へや;"room; chamber";Week 5
おや;おや;"oh!; oh?; my!";Week 5
いくつか;いくつか;"(a) few; some; several";Week 5
カチッ;カチッ;"klik; plock";Week 5
そっか;そっか;is that so? (generally rhetorical);Week 5
海中;かいちゅう;in the sea;Week 5
電灯;でんとう;electric light;Week 5
動く;うごく;"to move; to stir; to shift; to shake; to swing";Week 5
とまる;とまる;"to stop (moving); to come to a stop";Week 5
なるほど;なるほど;"I see; that's right; indeed";Week 5
復旧;ふっきゅう;"restoration; restitution; rehabilitation";Week 5
さあ;さあ;"come; come now; come along; go on; hurry up";Week 5
気に入る;きにいる;"to like; to be pleased with; to be delighted with; to take a liking to; to suit one's fancy";Week 5
暗い;くらい;"dark; gloomy; murky";Week 5
過;か;"surplus-; excess-; over-";Week 5
そうっと;そうっと;"softly; gently; quietly; lightly";Week 5
夕暮れ;ゆうぐれ;"evening; dusk; twilight";Week 5
特別;とくべつ;"special; particular; extraordinary; exceptional; especial";Week 5
代わり;かわり;"substitute; replacement; substituting; replacing";Week 5
吊るす;つるす;"to hang; to hang up";Week 5
数々;かずかず;"many; numerous; various; large number of";Week 5
提灯;ちょうちん;"paper lantern; Chinese lantern; Japanese lantern";Week 5
明る;あかる;"to become bright; to become clear";Week 5
ともす;ともす;"to light (a candle, lamp, etc.); to turn on (a light)";Week 5
お休み;おやすみ;"holiday; day off; absence";Week 5
皆;みんな;"everyone; everybody; all";Week 5
手に手に;てにてに;each (carrying);Week 5
提灯を持つ;ちょうちんをもつ;"to sing someone's praises; to give someone a boost; to carry a lantern";Week 5
ふしぎ;ふしぎ;"wonderful; marvelous; strange; incredible; amazing; curious; miraculous; mysterious";Week 5
静か;しずか;"quiet; silent";Week 5
虫の声;むしのこえ;"singing of insects (esp. in autumn); sound of insects";Week 5
人通り;ひとどおり;pedestrian traffic;Week 5
多い;おおい;"many; numerous; a lot";Week 5
林;はやし;"wood; woods; forest; grove; copse; thicket";Week 5
祭ばやし;まつりばやし;festival music;Week 5
橋;はし;bridge;Week 5
集まる;あつまる;"to gather; to collect; to assemble";Week 5
灯;ひ;"light; lamp";Week 5
乗せる;のせる;to place on (something);Week 5
笹舟;ささぶね;toy bamboo-leaf boat;Week 5
川;かわ;"river; stream";Week 5
流す;ながす;"to drain; to pour; to spill; to shed (blood, tears)";Week 5
こどもたち;こどもたち;children;Week 5
丸い;まるい;"round; circular; spherical";Week 5
顔を出す;かおをだす;"to turn up; to make an appearance; to put in an appearance; to drop by";Week 5
空;から;"emptiness; vacuum; blank";Week 5
いっぱい;いっぱい;"one cup (of); one glass (of); one bowl (of); cupful; glassful; bowlful; spoonful";Week 5
紙風船;かみふうせん;paper balloon;Week 5
ランタン;ランタン;lanthanum (La);Week 5
一斉に;いっせいに;"simultaneously; all at once; in unison";Week 5
夜空;よぞら;night sky;Week 5
放つ;はなつ;"to fire (gun, arrow, questions, etc.); to shoot; to hit (e.g. baseball); to break wind";Week 5
年に一度;ねんにいちど;once a year;Week 5
田;た;rice field;Week 5
はは;はは;mother;Week 5
たしか;たしか;"sure; certain; positive; definite";Week 6
あー;あー;"ah!; oh!; alas!";Week 6
引っ越す;ひっこす;"to move (house); to change residence";Week 6
閑古鳥;かんこどり;cuckoo;Week 6
ヒマツブシ;ヒマツブシ;"waste of time; killing time";Week 6
ケーキ;ケーキ;cake;Week 6
セルフビルド;セルフビルド;"self-build; building one's own home";Week 6
お茶;おちゃ;tea (usu. green);Week 6
禿びる;ちびる;"to get blunt; to dull; to wear out";Week 6
コウモリ;コウモリ;bat (Chiroptera spp.);Week 6
シェア;シェア;"sharing; share (on social media)";Week 6
ハウス;ハウス;house;Week 6
用意;ようい;"preparation; arrangements; provision; getting ready; laying out (e.g. a meal)";Week 6
見晴らす;みはらす;"to command a view; to look out over (onto, across, etc.); to overlook";Week 6
いいね;いいね;"that's good; that's nice";Week 6
最高;さいこう;"best; supreme; wonderful; finest";Week 6
カフェ;カフェ;"café; cafe; coffeehouse";Week 6
素敵;すてき;"lovely; wonderful; nice; great; fantastic; superb; cool";Week 6
そうだね;そうだね;"sure; yeah; I know";Week 6
客;きゃく;"guest; visitor";Week 6
なら;なら;"if; in case; if it is the case that; if it is true that";Week 6
自分;じぶん;"myself; yourself; oneself; himself; herself";Week 6
やる;やる;"to do; to undertake; to perform; to play (a game); to study";Week 6
コンニチ;コンニチ;"today; this day";Week 6
こないだ;こないだ;"the other day; lately; recently";Week 6
木の実;このみ;"fruit of a tree; nut; berry";Week 6
クッキー;クッキー;"cookie; biscuit";Week 6
たっぷり;たっぷり;"full; in plenty; ample";Week 6
蜜;みつ;nectar;Week 6
ジュース;ジュース;juice;Week 6
一杯;いっぱい;"one cup (of); one glass (of); one bowl (of); cupful; glassful; bowlful; spoonful";Week 6
いも虫;いもむし;"hornworm (caterpillar of a hawk moth); (hairless) caterpillar";Week 6
パイ;パイ;"pie; tart";Week 6
2つ;ふたつ;counter for the hito-futa-mi counting system (forming hitotsu, futatsu, mitsu, and misoji, yasoji, etc.);Week 6
