午后のあくび: Vocabulary for 午后のあくび
Word;Kana;Translation;Level
視線;しせん;"one's line of sight; one's gaze; one's eyes (looking); glance; gaze; look";Week 1
解放;かいほう;"release; unleashing; liberation; emancipation; setting free";Week 1
為れる;される;to be done (to someone or something);Week 1
文字;もじ;"letter (of alphabet); character";Week 1
中;じゅう;"through; throughout; in the course of";Week 1
泳ぐ;およぐ;to swim;Week 1
出る;でる;"to leave; to exit; to go out; to come out; to get out";Week 1
文章;ぶんしょう;"writing; composition; essay; article; passage; prose; (writing) style";Week 1
列;れつ;"row; line; file; column; queue; rank; procession";Week 1
自由に;じゆうに;"freely; at liberty; at will; as one likes";Week 1
勝手に;かってに;"arbitrarily; of its own accord; voluntarily; wilfully; willfully; as one pleases";Week 1
漂う;ただよう;"to drift; to float";Week 1
始める;はじめる;"to start; to begin; to commence; to initiate; to originate";Week 1
なぐさめあう;なぐさめあう;"to comfort one another; to offer each other consolation";Week 1
パートナー;パートナー;partner;Week 1
かくれんぼ;かくれんぼ;"hide-and-seek (game); hide-and-go-seek";Week 1
けんか;けんか;"flower offering; floral tribute; laying flowers";Week 1
虫;むし;"insect; bug; cricket; moth";Week 1
間違える;まちがえる;"to make a mistake (in); to commit an error (e.g. in calculation)";Week 1
溺れる;おぼれる;"to struggle in the water; to sink below the surface and become unable to breathe; to (nearly) drown";Week 1
溶く;とく;"to dissolve (paint); to scramble (eggs); to melt (metal, etc.); to mix (water with flour, etc.)";Week 1
踊り狂う;おどりくるう;to dance in ecstasy;Week 1
句読点;くとうてん;punctuation mark;Week 1
さお;さお;"rod; pole";Week 1
慌てる;あわてる;"to become confused (disconcerted, disorganized, disorganised); to be flustered; to panic";Week 1
戻る;もどる;to turn back (e.g. half-way);Week 1
あああ;あああ;"aah!; ooh!; oh no!; oh boy!";Week 1
元;もと;"origin; source";Week 1
通り;どおり;"in accordance with; following";Week 1
いけない;いけない;"wrong; not good; of no use";Week 1
寝る;ねる;to sleep (lying down);Week 1
ちゃう;ちゃう;to do completely;Week 1
居る;いる;"to be (of animate objects); to exist";Week 1
話;はなし;"talk; speech; chat; conversation";Week 1
だ;だ;"be; is";Week 1
っけ;っけ;particle indicating that the speaker is trying to recall some information;Week 1
会社;かいしゃ;"company; corporation";Week 1
向かう;むかう;to face;Week 1
スンゴク;スンゴク;"awfully; very; immensely";Week 1
ソンナ;ソンナ;"such; that sort of; that kind of; like that";Week 1
アナ;アナ;announcer;Week 1
モノ;モノ;mono;Week 1
マス;マス;"measuring container; measure";Week 1
アナタ;アナタ;you;Week 1
ソウ;ソウ;"appearing that; seeming that; looking like; having the appearance of";Week 1
帽子;ぼうし;"hat; cap";Week 1
下;もと;under (guidance, supervision, rules, the law, etc.);Week 1
コレ;コレ;"this; this one";Week 1
カブ;カブ;cub;Week 1
タラ;タラ;Japanese angelica tree (Aralia elata);Week 1
眠気;ねむけ;"sleepiness; drowsiness";Week 1
オット;オット;"uh-oh; oops; sorry";Week 1
サヨナラ;サヨナラ;"goodbye; so long; farewell";Week 1
防止;ぼうし;"prevention; check";Week 1
どっか;どっか;somewhere;Week 1
おはよう;おはよう;good morning;Week 1
ざい;ざい;"fortune; riches";Week 1
あたたか;あたたか;"warm; mild; genial";Week 1
陽;よう;(the) positive;Week 1
差し込む;さしこむ;"to insert; to put in; to thrust in; to plug in";Week 1
窓辺;まどべ;by the window;Week 1
見る;みる;"to see; to look; to watch; to view; to observe";Week 1
書く;かく;"to write; to compose; to pen";Week 1
原稿;げんこう;"manuscript; copy; draft; notes; contribution";Week 1
解読;かいどく;"deciphering; decoding";Week 1
お仕事;おしごと;"work; job; labor; labour; business; task; assignment; occupation; employment";Week 1
わね;わね;"isn't it?; it really is";Week 1
おかげ;おかげ;"grace (of God); benevolence (of Buddha); blessing";Week 1
あら;あら;"oh; ah";Week 1
あわ;あわ;"bubble; foam; froth; suds; lather; head (on beer)";Week 1
ほんと;ほんと;"truth; reality; actuality; fact";Week 1
ちっとも;ちっとも;"(not) at all; (not) a bit; (not) in the least; (not) in the slightest";Week 1
昼休み;ひるやすみ;"lunch break; noon recess; noon rest period";Week 1
大きい;おおきい;"big; large; great";Week 1
そうか;そうか;is that so? (generally rhetorical);Week 1
